dumpster,month,year,date,weight_tons,volume_y3,plastic_bottles,polystyrene,cigarettes,plastic_bags,wheel
1,May ,2014,41775,4.31,18,1450,1820,126000,584,Mr. Trash
2,May ,2014,41775,2.74,13,1120,1030,91000,496,Mr. Trash
3,May,2014,41775,3.45,15,2450,3100,105000,1080,Mr. Trash
4,May,2014,41776,3.1,15,2380,2730,100000,896,Mr. Trash
5,May,2014,41776,4.06,18,980,870,120000,368,Mr. Trash
6,May,2014,41779,2.71,13,1430,2140,90000,672,Mr. Trash
7,May,2014,41780,1.91,8,910,1090,56000,416,Mr. Trash
8,May,2014,41787,3.7,16,3580,4310,112000,1552,Mr. Trash
9,June,2014,41795,2.52,14,2400,2790,98000,984,Mr. Trash
10,June,2014,41801,3.76,18,1340,1730,130000,448,Mr. Trash
11,June,2014,41801,3.43,15,740,869,110000,344,Mr. Trash
12,June,2014,41802,4.17,19,950,1140,133000,520,Mr. Trash
13,June,2014,41803,5.13,15,530,630,104000,224,Mr. Trash
14,June,2014,41803,4.17,15,840,760,100000,344,Mr. Trash
15,June,2014,41809,3.28,15,1130,1350,102000,432,Mr. Trash
16,June,2014,41809,3.05,15,1640,2130,106000,752,Mr. Trash
17,June,2014,41818,2.49,13,1350,1620,89000,696,Mr. Trash
18,July,2014,41823,2.54,15,1640,1960,108000,744,Mr. Trash
19,July,2014,41827,2.41,15,1730,2100,107000,896,Mr. Trash
20,July,2014,41831,3.83,18,5960,6540,132000,2560,Mr. Trash
21,July,2014,41834,2.73,15,2170,2620,112000,1144,Mr. Trash
22,July,2014,41835,4.4,16,1930,2210,115000,688,Mr. Trash
23,July,2014,41835,2.79,14,3200,3840,98000,1464,Mr. Trash
24,July,2014,41845,2.5,13,2500,3040,85000,1248,Mr. Trash
25,August,2014,41855,4.39,16,2140,2050,118000,904,Mr. Trash
26,August,2014,41855,5.33,17,1630,1950,123000,512,Mr. Trash
27,August,2014,41864,3.58,20,3640,4360,141000,1560,Mr. Trash
28,August,2014,41864,3.1,17,1430,1870,121000,552,Mr. Trash
29,August,2014,41870,1.77,10,570,780,32000,310,Mr. Trash
30,September,2014,41885,3.76,18,4800,3640,310000,1880,Mr. Trash
31,September,2014,41906,1.24,8,550,860,18000,420,Mr. Trash
32,September,2014,41908,3.14,15,2240,2880,112000,1200,Mr. Trash
33,October,2014,41915,2.71,16,4220,4840,84000,1400,Mr. Trash
34,October,2014,41921,2.11,14,1400,1650,80000,1450,Mr. Trash
35,October,2014,41932,4.09,18,2820,3010,78000,990,Mr. Trash
36,October,2014,41932,2.31,14,1900,2240,81000,840,Mr. Trash
37,October,2014,41936,3.5,15,3650,3880,94000,1210,Mr. Trash
38,November,2014,41949,2.7,15,760,1680,22000,960,Mr. Trash
39,November,2014,41960,3.25,18,1250,2730,46000,1130,Mr. Trash
40,November,2014,41963,3.84,15,880,1840,35000,730,Mr. Trash
41,November,2014,41971,2.88,15,1800,3970,52000,560,Mr. Trash
42,December,2014,41974,1.81,17,1370,3140,38000,950,Mr. Trash
43,December,2014,41990,3.48,15,550,1450,22000,740,Mr. Trash
44,December,2014,42003,3.18,15,640,1670,26000,880,Mr. Trash
45,January,2015,42016,2.87,17,1160,2250,31000,1120,Mr. Trash
46,January,2015,42027,2,14,1570,2400,33000,380,Mr. Trash
47,January,2015,42030,2.14,13,1340,2650,28000,430,Mr. Trash
48,February,2015,42039,2.54,15,1740,2250,22000,320,Mr. Trash
49,March,2015,42072,3.82,18,2870,3240,25000,540,Mr. Trash
50,March,2015,42076,1.83,15,3120,5430,32000,650,Mr. Trash
51,March,2015,42090,2.02,15,2780,4980,26000,470,Mr. Trash
52,April,2015,42102,2.5,18,2240,2360,27000,270,Mr. Trash
53,April,2015,42104,3.41,15,2550,3420,32000,320,Mr. Trash
54,April,2015,42113,1.83,11,1470,1840,18000,240,Mr. Trash
55,April,2015,42114,3.84,18,1240,1630,23000,430,Mr. Trash
56,April,2015,42114,3.22,15,1150,1420,19000,370,Mr. Trash
57,April,2015,42114,3.03,15,2850,3160,18000,350,Mr. Trash
58,April,2015,42114,2.64,18,960,1280,22000,450,Mr. Trash
59,April,2015,42114,3.54,15,870,1140,18000,330,Mr. Trash
60,May ,2015,42139,1.95,9,1340,2150,22000,190,Mr. Trash
61,May ,2015,42141,4.25,18,2630,3480,38000,1240,Mr. Trash
62,May,2015,42141,5.62,15,1850,3270,54000,970,Mr. Trash
63,May,2015,42142,3.81,15,2830,3780,48000,650,Mr. Trash
64,May,2015,42143,3.45,18,1740,2630,32000,820,Mr. Trash
65,May,2015,42143,3.34,15,2780,3250,37000,1140,Mr. Trash
66,June,2015,42156,2.54,15,1260,1830,56000,1230,Mr. Trash
67,June,2015,42164,4.66,18,2340,3460,48000,1620,Mr. Trash
68,June,2015,42164,3.39,15,3240,4360,33000,1430,Mr. Trash
69,June,2015,42164,3.17,15,940,1220,35000,840,Mr. Trash
70,June,2015,42164,3.15,18,830,1150,37000,920,Mr. Trash
71,June,2015,42164,3.83,15,960,1190,33000,730,Mr. Trash
72,June,2015,42165,4.78,15,870,1040,32000,820,Mr. Trash
73,June,2015,42165,3.85,18,920,1290,34000,930,Mr. Trash
74,June,2015,42165,4.48,15,1130,1370,38000,1270,Mr. Trash
75,June,2015,42165,4.18,15,1060,1250,37000,1340,Mr. Trash
76,June,2015,42165,3.38,18,740,930,34000,1130,Mr. Trash
77,June,2015,42165,3.83,15,950,1220,35000,1370,Mr. Trash
78,June,2015,42167,3.95,15,2340,3250,65000,2730,Mr. Trash
79,June,2015,42170,2.44,18,2660,3420,72000,2430,Mr. Trash
80,June,2015,42173,2.85,15,2430,3120,68000,2370,Mr. Trash
81,June,2015,42179,3.43,15,2690,3370,82000,1910,Mr. Trash
82,June,2015,42179,4.28,18,1540,1780,45000,1830,Mr. Trash
83,June,2015,42179,3.94,15,1240,1450,37000,1650,Mr. Trash
84,June,2015,42183,3.38,15,2870,3560,68000,2140,Mr. Trash
85,June,2015,42183,3.45,18,2450,3240,74000,2320,Mr. Trash
86,June,2015,42184,3.93,15,1830,2240,36000,1630,Mr. Trash
87,July,2015,42192,4.07,15,2360,3120,82000,1840,Mr. Trash
88,July,2015,42193,3.03,18,2640,3520,68000,1460,Mr. Trash
89,July,2015,42199,3.52,15,2840,3360,65000,1690,Mr. Trash
90,July,2015,42199,3.51,15,2640,3120,76000,2130,Mr. Trash
91,July,2015,42212,3.68,18,3070,4250,82000,1770,Mr. Trash
92,July,2015,42214,3.4,15,2820,3740,75000,2400,Mr. Trash
93,August,2015,42220,3.72,15,2640,3250,68000,1860,Mr. Trash
94,August,2015,42234,1.84,9,870,980,34000,750,Mr. Trash
95,August,2015,42237,3,15,3220,3460,67000,2170,Mr. Trash
96,August,2015,42241,4.33,18,1980,2190,48000,1600,Mr. Trash
97,August,2015,42241,4.3,15,410,540,3000,250,Mr. Trash
98,August,2015,42242,3.39,15,640,780,32000,350,Mr. Trash
99,September,2015,42258,4.08,18,2730,3140,54000,2430,Mr. Trash
100,September,2015,42258,3.62,15,1360,1570,26000,1420,Mr. Trash
101,September,2015,42269,2.4,7,760,1030,24000,780,Mr. Trash
102,September,2015,42277,4.24,18,1240,1460,46000,860,Mr. Trash
103,September,2015,42277,3.31,15,800,920,32000,270,Mr. Trash
104,October,2015,42289,2.9,15,2540,2780,42000,2230,Mr. Trash
105,October,2015,42304,2.46,18,2130,2560,34000,1970,Mr. Trash
106,October,2015,42308,2.89,15,2670,2820,36000,2450,Mr. Trash
107,November,2015,42328,4.46,15,1940,2230,28000,2960,Mr. Trash
108,December,2015,42340,3.42,18,2140,2570,19000,3100,Mr. Trash
109,December,2015,42340,3.56,15,1960,2340,21000,3300,Mr. Trash
110,December,2015,42361,1.92,12,1640,2150,32000,2430,Mr. Trash
111,December,2015,42362,2.9,18,1850,2670,33000,2770,Mr. Trash
112,December,2015,42364,3.24,15,2370,3240,24000,1830,Mr. Trash
113,December,2015,42364,4.41,15,2530,3300,41000,2190,Mr. Trash
114,December,2015,42364,3.39,18,2720,3690,23000,2520,Mr. Trash
115,December,2015,42364,3.27,15,2250,3180,37000,2740,Mr. Trash
116,January,2016,42379,3.6,15,3240,4160,28000,1360,Mr. Trash
117,February,2016,42402,4.06,18,3530,4620,24000,1850,Mr. Trash
118,February,2016,42403,2.11,15,2340,3870,31000,2130,Mr. Trash
119,February,2016,42405,3.01,15,2460,3640,27000,1920,Mr. Trash
120,February,2016,42417,3.41,18,1340,1680,24000,1530,Mr. Trash
121,February,2016,42419,3.66,15,950,1120,21000,1370,Mr. Trash
122,February,2016,42425,4.51,15,2240,3150,36000,2450,Mr. Trash
123,March ,2016,42430,2.89,18,3050,3270,29000,1740,Mr. Trash
124,March,2016,42440,2.89,15,1630,1820,18000,2150,Mr. Trash
125,March,2016,42441,2.51,15,1120,1460,17000,2270,Mr. Trash
126,March,2016,42444,3.58,18,3340,3640,45000,3450,Mr. Trash
127,March,2016,42458,3.41,15,3560,3740,43000,3320,Mr. Trash
